,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,154473.0,2.4665440000244416,794.0,4.0,2.0,2.0,23.0,18.0,5.0,453.0,56.0,193.0,37.0,103.0,11.0,42.0,3.0,8.0,9.0,82.0,147.0,215.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1.0,1.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,203850.0,1.667283100017812,903.0,100.0,0.0,100.0,175.0,0.0,175.0,16.0,52.0,190.0,39.0,106.0,10.0,44.0,3.0,9.0,9.0,82.0,140.0,222.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,23.0,3.0,12.0,0.0,1.0,0.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,15.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,22.0,23.0,12.0,2.0
2,1.0,2.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,209286.0,3.7653257000492886,915.0,204.0,0.0,204.0,340.0,0.0,340.0,109.0,59.0,188.0,36.0,108.0,9.0,41.0,3.0,9.0,12.0,79.0,139.0,223.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,3.0,53.0,7.0,33.0,0.0,13.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,32.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,43.0,9.0,9.0
3,1.0,3.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,162174.0,3.184674600022845,811.0,132.0,2.0,130.0,238.0,19.0,219.0,184.0,61.0,174.0,42.0,116.0,7.0,40.0,2.0,11.0,12.0,60.0,165.0,216.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,26.0,2.0,16.0,0.0,3.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,11.0,24.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,18.0,31.0,12.0,4.0
4,1.0,4.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,134541.0,4.093683200015221,750.0,10.0,0.0,10.0,18.0,0.0,18.0,166.0,61.0,164.0,33.0,132.0,14.0,35.0,3.0,11.0,7.0,65.0,157.0,224.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
5,1.0,5.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,169422.0,5.544917399995029,827.0,130.0,0.0,130.0,228.0,0.0,228.0,9.0,62.0,162.0,35.0,131.0,14.0,34.0,3.0,12.0,7.0,64.0,159.0,223.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,4.0,28.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,18.0,19.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,3.0,27.0,26.0,17.0,3.0
6,1.0,6.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,139977.0,6.549649699998554,762.0,11.0,2.0,9.0,32.0,18.0,14.0,157.0,57.0,166.0,29.0,141.0,10.0,37.0,2.0,11.0,9.0,68.0,172.0,204.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0
7,1.0,7.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,168063.0,2.3685386999859475,824.0,147.0,2.0,145.0,276.0,19.0,257.0,25.0,55.0,166.0,26.0,145.0,11.0,38.0,2.0,10.0,8.0,72.0,162.0,211.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,28.0,6.0,11.0,1.0,1.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,20.0,27.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,27.0,32.0,14.0,10.0
8,1.0,8.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,137712.0,4.857238100026734,757.0,133.0,0.0,133.0,231.0,0.0,231.0,179.0,62.0,173.0,28.0,130.0,13.0,38.0,1.0,8.0,9.0,70.0,170.0,204.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,23.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,5.0,25.0,22.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,5.0,36.0,33.0,20.0,5.0
9,1.0,9.0,London_17,3years_LHD,151,453,1092.0,70.0,2.0,107814.0,5.443812599987723,691.0,71.0,0.0,71.0,131.0,0.0,131.0,186.0,51.0,180.0,26.0,133.0,16.0,40.0,2.0,5.0,16.0,74.0,163.0,200.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,3.0,5.0,14.0,12.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,3.0,8.0,29.0,13.0,21.0,6.0
