,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,150849.0,0.6236581059638411,786.0,77.0,0.0,77.0,133.0,0.0,133.0,453.0,65.0,147.0,34.0,145.0,13.0,32.0,0.0,17.0,6.0,72.0,163.0,212.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,7.0,13.0,14.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,10.0,18.0,21.0,20.0,8.0
1,1.0,1.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,149037.0,0.645110092998948,782.0,47.0,2.0,45.0,103.0,19.0,84.0,133.0,73.0,148.0,22.0,140.0,16.0,29.0,2.0,23.0,7.0,83.0,159.0,204.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,3.0,3.0,1.0,3.0,8.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,14.0,14.0,9.0,10.0
2,1.0,2.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,174858.0,0.6769239520072006,839.0,108.0,0.0,108.0,184.0,0.0,184.0,103.0,71.0,155.0,23.0,151.0,7.0,17.0,3.0,26.0,8.0,77.0,159.0,209.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,2.0,6.0,7.0,9.0,22.0,15.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,0.0,0.0,0.0,2.0,10.0,11.0,11.0,34.0,20.0,25.0,18.0
3,1.0,3.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,166251.0,0.6250452280510217,820.0,55.0,0.0,55.0,93.0,0.0,93.0,184.0,81.0,174.0,13.0,127.0,14.0,23.0,3.0,18.0,14.0,74.0,158.0,207.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,2.0,6.0,14.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,4.0,2.0,13.0,24.0,7.0,8.0
4,1.0,4.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,177576.0,1.6144280059961602,845.0,136.0,2.0,134.0,256.0,18.0,238.0,93.0,80.0,186.0,10.0,134.0,13.0,15.0,2.0,13.0,15.0,76.0,151.0,211.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,1.0,2.0,0.0,7.0,8.0,5.0,8.0,25.0,33.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,2.0,2.0,0.0,7.0,10.0,7.0,9.0,42.0,46.0,29.0,22.0
5,1.0,5.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,147678.0,1.3296153240371495,779.0,148.0,0.0,148.0,256.0,0.0,256.0,256.0,93.0,193.0,15.0,108.0,7.0,24.0,0.0,13.0,14.0,83.0,156.0,200.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,9.0,0.0,1.0,0.0,7.0,8.0,7.0,10.0,30.0,33.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,9.0,0.0,1.0,0.0,9.0,8.0,9.0,14.0,47.0,49.0,22.0,20.0
6,1.0,6.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,115062.0,1.319556764967274,707.0,8.0,2.0,6.0,29.0,18.0,11.0,256.0,120.0,196.0,25.0,80.0,7.0,17.0,3.0,5.0,14.0,60.0,176.0,203.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,1.0,7.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,151302.0,2.2743621750269085,787.0,101.0,2.0,99.0,190.0,16.0,174.0,29.0,125.0,196.0,26.0,70.0,8.0,20.0,3.0,5.0,11.0,62.0,172.0,208.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,16.0,0.0,6.0,0.0,14.0,5.0,2.0,9.0,20.0,24.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,3.0,15.0,18.0,0.0,6.0,0.0,21.0,9.0,3.0,12.0,35.0,33.0,15.0,10.0
8,1.0,8.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,137712.0,1.0310335360118188,757.0,69.0,1.0,68.0,133.0,10.0,123.0,190.0,136.0,218.0,26.0,53.0,5.0,12.0,0.0,3.0,14.0,74.0,160.0,205.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,9.0,6.0,3.0,8.0,15.0,18.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,3.0,0.0,11.0,8.0,4.0,10.0,24.0,29.0,13.0,14.0
9,1.0,9.0,London_129,3years_LHD,151,453,1092.0,70.0,2.0,144507.0,0.7333623300073668,772.0,110.0,2.0,108.0,193.0,17.0,176.0,133.0,147.0,221.0,24.0,39.0,5.0,10.0,0.0,7.0,11.0,79.0,176.0,187.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,1.0,3.0,5.0,1.0,9.0,22.0,19.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,4.0,2.0,3.0,6.0,1.0,13.0,31.0,25.0,21.0,12.0
