,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_80,,151,453,1092.0,70.0,2.0,178935.0,0.2999559279996902,848.0,75.0,2.0,73.0,137.0,19.0,118.0,453.0,54.0,172.0,40.0,123.0,15.0,43.0,4.0,2.0,7.0,76.0,161.0,209.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,15.0,19.0,4.0,16.0,0.0,23.0,15.0,14.0,11.0,15.0,14.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,18.0,22.0,26.0,7.0,16.0,0.0,30.0,23.0,21.0,15.0,19.0,21.0,27.0,11.0
1,1.0,1.0,London_80,,151,453,1092.0,70.0,2.0,182559.0,0.28120441013015807,856.0,232.0,0.0,232.0,394.0,0.0,394.0,137.0,60.0,158.0,40.0,135.0,20.0,31.0,4.0,5.0,13.0,83.0,163.0,194.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.0,38.0,4.0,10.0,0.0,51.0,47.0,64.0,52.0,46.0,62.0,53.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,59.0,50.0,8.0,12.0,0.0,60.0,77.0,96.0,82.0,66.0,87.0,69.0,56.0
2,1.0,2.0,London_80,,151,453,1092.0,70.0,2.0,110985.0,0.1784145690035075,698.0,42.0,1.0,41.0,80.0,7.0,73.0,394.0,65.0,151.0,42.0,128.0,18.0,38.0,2.0,9.0,13.0,79.0,149.0,212.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,11.0,15.0,1.0,10.0,0.0,12.0,6.0,8.0,5.0,4.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,14.0,17.0,2.0,10.0,0.0,17.0,7.0,12.0,5.0,6.0,13.0,12.0,6.0
3,1.0,3.0,London_80,,151,453,1092.0,70.0,2.0,122763.0,0.18601063010282815,724.0,101.0,0.0,101.0,172.0,0.0,172.0,80.0,72.0,156.0,42.0,111.0,20.0,36.0,4.0,12.0,9.0,73.0,163.0,208.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,18.0,2.0,4.0,0.0,24.0,20.0,27.0,18.0,18.0,27.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,21.0,3.0,4.0,0.0,31.0,28.0,40.0,26.0,27.0,40.0,37.0,12.0
4,1.0,4.0,London_80,,151,453,1092.0,70.0,2.0,104190.0,0.15457169013097882,683.0,28.0,2.0,26.0,61.0,20.0,41.0,172.0,85.0,169.0,34.0,98.0,19.0,31.0,5.0,12.0,8.0,75.0,162.0,208.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,1.0,0.0,5.0,4.0,6.0,5.0,5.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,0.0,1.0,0.0,7.0,4.0,6.0,8.0,8.0,10.0,15.0,3.0
5,1.0,5.0,London_80,,151,453,1092.0,70.0,2.0,121857.0,0.2040146270301193,722.0,6.0,0.0,6.0,9.0,0.0,9.0,61.0,89.0,171.0,33.0,114.0,14.0,18.0,3.0,11.0,6.0,74.0,165.0,208.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0
6,1.0,6.0,London_80,,151,453,1092.0,70.0,2.0,162627.0,0.25867758109234273,812.0,111.0,1.0,110.0,203.0,10.0,193.0,9.0,90.0,172.0,35.0,111.0,15.0,16.0,3.0,11.0,6.0,74.0,166.0,207.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,21.0,24.0,0.0,16.0,0.0,28.0,12.0,27.0,19.0,19.0,26.0,47.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,13.0,35.0,30.0,0.0,20.0,0.0,36.0,19.0,44.0,30.0,29.0,40.0,61.0,13.0
7,1.0,7.0,London_80,,151,453,1092.0,70.0,2.0,148131.0,0.26185191003605723,780.0,61.0,2.0,59.0,116.0,18.0,98.0,203.0,108.0,189.0,38.0,87.0,6.0,15.0,3.0,7.0,8.0,75.0,159.0,211.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,12.0,15.0,2.0,12.0,0.0,12.0,15.0,13.0,17.0,13.0,13.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,9.0,9.0,8.0,0.0,0.0,0.0,17.0,18.0,21.0,3.0,13.0,0.0,18.0,25.0,19.0,23.0,18.0,16.0,19.0,11.0
8,1.0,8.0,London_80,,151,453,1092.0,70.0,2.0,164892.0,0.26690735714510083,817.0,153.0,2.0,151.0,275.0,17.0,258.0,116.0,119.0,181.0,45.0,82.0,8.0,12.0,2.0,4.0,7.0,70.0,153.0,223.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,27.0,39.0,1.0,17.0,0.0,37.0,28.0,25.0,29.0,31.0,26.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,42.0,42.0,45.0,3.0,18.0,0.0,50.0,47.0,36.0,49.0,54.0,41.0,72.0,16.0
9,1.0,9.0,London_80,,151,453,1092.0,70.0,2.0,143601.0,0.23407975700683892,770.0,28.0,0.0,28.0,52.0,0.0,52.0,275.0,137.0,157.0,36.0,87.0,9.0,20.0,2.0,5.0,6.0,73.0,140.0,234.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,2.0,4.0,0.0,2.0,8.0,8.0,5.0,9.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,6.0,4.0,4.0,0.0,3.0,14.0,13.0,7.0,17.0,14.0,18.0,6.0
