,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_91,new,151,453,1092.0,70.0,2.0,159909.0,0.4997632084414363,806.0,128.0,3.0,125.0,253.0,25.0,228.0,453.0,51.0,168.0,35.0,146.0,14.0,31.0,1.0,7.0,6.0,77.0,162.0,208.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,16.0,0.0,3.0,3.0,16.0,8.0,9.0,14.0,22.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,7.0,5.0,0.0,0.0,0.0,6.0,26.0,0.0,5.0,4.0,20.0,12.0,12.0,19.0,35.0,51.0,22.0
1,1.0,1.0,London_91,new,151,453,1092.0,70.0,2.0,138165.0,0.4950416162610054,758.0,168.0,0.0,168.0,287.0,0.0,287.0,253.0,55.0,178.0,34.0,118.0,13.0,50.0,0.0,5.0,5.0,63.0,185.0,200.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,2.0,7.0,14.0,5.0,22.0,30.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,10.0,2.0,9.0,17.0,6.0,31.0,43.0,57.0,30.0
2,1.0,2.0,London_91,new,151,453,1092.0,70.0,2.0,96489.0,0.3964409977197647,666.0,45.0,0.0,45.0,72.0,0.0,72.0,287.0,83.0,172.0,43.0,85.0,11.0,52.0,2.0,5.0,8.0,81.0,172.0,192.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,4.0,6.0,1.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.0,6.0,7.0,2.0,12.0,12.0,10.0
3,1.0,3.0,London_91,new,151,453,1092.0,70.0,2.0,123216.0,0.5465838052332401,725.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,88.0,181.0,42.0,81.0,10.0,46.0,1.0,4.0,10.0,88.0,167.0,188.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,4.0,London_91,new,151,453,1092.0,70.0,2.0,163080.0,0.5556160239502788,813.0,2.0,2.0,0.0,19.0,19.0,0.0,0.0,88.0,181.0,42.0,81.0,10.0,46.0,1.0,4.0,10.0,88.0,167.0,188.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,5.0,London_91,new,151,453,1092.0,70.0,2.0,208380.0,0.7721646036952734,913.0,94.0,2.0,92.0,184.0,19.0,165.0,19.0,90.0,186.0,45.0,87.0,8.0,31.0,1.0,5.0,8.0,85.0,164.0,196.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,6.0,3.0,8.0,11.0,10.0,22.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0,4.0,2.0,4.0,6.0,4.0,12.0,21.0,13.0,34.0,32.0,14.0
6,1.0,6.0,London_91,new,151,453,1092.0,70.0,2.0,216987.0,0.984496871009469,932.0,143.0,0.0,143.0,247.0,0.0,247.0,184.0,97.0,183.0,40.0,106.0,14.0,9.0,0.0,4.0,7.0,97.0,162.0,187.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,9.0,8.0,5.0,12.0,9.0,32.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,9.0,11.0,7.0,15.0,11.0,48.0,25.0,42.0
7,1.0,7.0,London_91,new,151,453,1092.0,70.0,2.0,192525.0,0.9214830035343766,878.0,171.0,1.0,170.0,300.0,8.0,292.0,247.0,101.0,202.0,34.0,78.0,6.0,23.0,1.0,8.0,20.0,77.0,166.0,190.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,7.0,2.0,3.0,8.0,8.0,1.0,10.0,39.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,8.0,3.0,3.0,10.0,12.0,2.0,12.0,60.0,56.0,35.0
8,1.0,8.0,London_91,new,151,453,1092.0,70.0,2.0,153567.0,0.6800819002091885,792.0,73.0,0.0,73.0,120.0,0.0,120.0,300.0,123.0,165.0,20.0,92.0,12.0,31.0,1.0,9.0,19.0,64.0,159.0,211.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,6.0,3.0,3.0,2.0,14.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,0.0,0.0,10.0,5.0,4.0,2.0,23.0,28.0,15.0
9,1.0,9.0,London_91,new,151,453,1092.0,70.0,2.0,154020.0,0.8920496208593249,793.0,176.0,0.0,176.0,300.0,0.0,300.0,120.0,130.0,162.0,29.0,89.0,14.0,24.0,1.0,4.0,24.0,60.0,159.0,210.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,4.0,0.0,1.0,5.0,16.0,17.0,3.0,29.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,4.0,0.0,1.0,5.0,18.0,19.0,4.0,42.0,57.0,16.0
