,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_37,baseline1,151,453,1092.0,70.0,2.0,153567.0,0.30355091858655214,792.0,119.0,1.0,118.0,211.0,8.0,203.0,453.0,56.0,162.0,40.0,147.0,12.0,25.0,1.0,10.0,7.0,87.0,144.0,215.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,14.0,27.0,5.0,17.0,28.0,19.0,19.0,26.0,26.0,17.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,19.0,21.0,36.0,7.0,19.0,37.0,32.0,27.0,35.0,34.0,26.0,52.0
1,1.0,1.0,London_37,baseline1,151,453,1092.0,70.0,2.0,134541.0,0.25944232381880283,750.0,44.0,2.0,42.0,93.0,20.0,73.0,211.0,43.0,169.0,33.0,158.0,16.0,31.0,1.0,2.0,8.0,74.0,149.0,222.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,5.0,10.0,9.0,9.0,8.0,12.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,6.0,8.0,3.0,3.0,6.0,12.0,12.0,16.0,10.0,20.0,14.0,15.0
2,1.0,2.0,London_37,baseline1,151,453,1092.0,70.0,2.0,156285.0,0.2988771591335535,798.0,94.0,0.0,94.0,163.0,0.0,163.0,93.0,54.0,141.0,29.0,174.0,17.0,29.0,2.0,7.0,6.0,70.0,148.0,229.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,12.0,1.0,15.0,34.0,13.0,16.0,21.0,14.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,16.0,2.0,22.0,51.0,19.0,28.0,33.0,21.0,44.0,34.0
3,1.0,3.0,London_37,baseline1,151,453,1092.0,70.0,2.0,149943.0,0.2912716343998909,784.0,129.0,0.0,129.0,230.0,0.0,230.0,163.0,66.0,138.0,23.0,170.0,15.0,30.0,2.0,9.0,5.0,64.0,156.0,228.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,35.0,4.0,23.0,37.0,21.0,28.0,27.0,29.0,36.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,41.0,51.0,5.0,28.0,50.0,31.0,49.0,45.0,48.0,46.0,57.0
4,1.0,4.0,London_37,baseline1,151,453,1092.0,70.0,2.0,122310.0,0.22341917362064123,723.0,1.0,1.0,0.0,9.0,9.0,0.0,230.0,53.0,170.0,23.0,149.0,18.0,32.0,2.0,6.0,3.0,60.0,170.0,220.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,5.0,London_37,baseline1,151,453,1092.0,70.0,2.0,163080.0,0.32909842766821384,813.0,136.0,1.0,135.0,253.0,10.0,243.0,9.0,55.0,172.0,23.0,152.0,9.0,33.0,3.0,6.0,3.0,58.0,170.0,222.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,21.0,27.0,5.0,25.0,20.0,23.0,18.0,37.0,26.0,29.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,14.0,34.0,50.0,7.0,27.0,36.0,34.0,26.0,60.0,42.0,46.0,59.0
6,1.0,6.0,London_37,baseline1,151,453,1092.0,70.0,2.0,143601.0,0.2648423854261637,770.0,53.0,2.0,51.0,103.0,16.0,87.0,253.0,60.0,161.0,17.0,145.0,13.0,50.0,2.0,5.0,6.0,71.0,162.0,214.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,14.0,13.0,1.0,9.0,13.0,10.0,4.0,7.0,6.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,6.0,0.0,10.0,0.0,0.0,0.0,8.0,22.0,18.0,1.0,9.0,20.0,15.0,8.0,12.0,12.0,19.0,23.0
7,1.0,7.0,London_37,baseline1,151,453,1092.0,70.0,2.0,158550.0,0.3119594259187579,803.0,102.0,1.0,101.0,182.0,9.0,173.0,103.0,50.0,171.0,26.0,129.0,13.0,53.0,1.0,10.0,7.0,66.0,168.0,212.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,17.0,19.0,3.0,8.0,25.0,13.0,14.0,25.0,18.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,22.0,32.0,4.0,8.0,36.0,19.0,18.0,34.0,26.0,36.0,39.0
8,1.0,8.0,London_37,baseline1,151,453,1092.0,70.0,2.0,144960.0,0.2556800115853548,773.0,122.0,0.0,122.0,223.0,0.0,223.0,182.0,57.0,137.0,31.0,143.0,14.0,54.0,3.0,14.0,9.0,75.0,140.0,229.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,25.0,0.0,14.0,30.0,15.0,24.0,30.0,25.0,33.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,30.0,0.0,14.0,45.0,24.0,40.0,48.0,40.0,54.0,55.0
9,1.0,9.0,London_37,baseline1,151,453,1092.0,70.0,2.0,125934.0,0.218694556504488,731.0,17.0,1.0,16.0,36.0,10.0,26.0,223.0,54.0,137.0,14.0,153.0,12.0,58.0,6.0,19.0,16.0,72.0,149.0,216.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,5.0,1.0,3.0,7.0,2.0,2.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,10.0,5.0,1.0,3.0,11.0,2.0,4.0,6.0,2.0,7.0,4.0
