,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_80,substitution,151,453,1092.0,70.0,2.0,178935.0,5.579963232856244,848.0,75.0,2.0,73.0,137.0,19.0,118.0,453.0,54.0,172.0,40.0,123.0,15.0,43.0,4.0,2.0,7.0,76.0,161.0,209.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,6.0,3.0,4.0,17.0,15.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,7.0,7.0,4.0,6.0,22.0,22.0,19.0,7.0
1,1.0,1.0,London_80,substitution,151,453,1092.0,70.0,2.0,182559.0,5.948703630827367,856.0,232.0,0.0,232.0,394.0,0.0,394.0,137.0,56.0,162.0,40.0,135.0,19.0,32.0,4.0,5.0,13.0,80.0,145.0,215.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,3.0,2.0,1.0,0.0,10.0,17.0,18.0,24.0,47.0,60.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,4.0,4.0,1.0,0.0,12.0,19.0,23.0,26.0,62.0,87.0,13.0,47.0
2,1.0,2.0,London_80,substitution,151,453,1092.0,70.0,2.0,110985.0,4.919214641675353,698.0,42.0,1.0,41.0,80.0,7.0,73.0,394.0,61.0,155.0,42.0,128.0,18.0,38.0,2.0,9.0,12.0,77.0,156.0,208.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,2.0,7.0,14.0,10.0,3.0
3,1.0,3.0,London_80,substitution,151,453,1092.0,70.0,2.0,122763.0,0.45034608198329806,724.0,101.0,0.0,101.0,172.0,0.0,172.0,80.0,68.0,159.0,36.0,118.0,20.0,36.0,4.0,12.0,13.0,70.0,169.0,201.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,11.0,13.0,4.0,18.0,25.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,18.0,18.0,5.0,25.0,35.0,35.0,10.0
4,1.0,4.0,London_80,substitution,151,453,1092.0,70.0,2.0,104190.0,0.4200209388509393,683.0,28.0,2.0,26.0,61.0,20.0,41.0,172.0,81.0,172.0,26.0,107.0,19.0,31.0,5.0,12.0,16.0,74.0,166.0,197.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,6.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,8.0,11.0,9.0,3.0
5,1.0,5.0,London_80,substitution,151,453,1092.0,70.0,2.0,121857.0,0.5208312710747123,722.0,6.0,0.0,6.0,9.0,0.0,9.0,61.0,80.0,174.0,25.0,123.0,15.0,22.0,3.0,11.0,14.0,73.0,169.0,197.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
6,1.0,6.0,London_80,substitution,151,453,1092.0,70.0,2.0,162627.0,0.6175782792270184,812.0,111.0,1.0,110.0,203.0,10.0,193.0,9.0,81.0,175.0,27.0,120.0,16.0,20.0,3.0,11.0,14.0,71.0,169.0,199.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,5.0,10.0,6.0,17.0,25.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,7.0,8.0,11.0,7.0,29.0,39.0,33.0,9.0
7,1.0,7.0,London_80,substitution,151,453,1092.0,70.0,2.0,148131.0,0.6916106701828539,780.0,61.0,2.0,59.0,116.0,18.0,98.0,203.0,99.0,192.0,30.0,96.0,10.0,16.0,3.0,7.0,15.0,77.0,162.0,199.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,10.0,4.0,7.0,10.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,3.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,15.0,6.0,12.0,14.0,13.0,21.0,11.0
8,1.0,8.0,London_80,substitution,151,453,1092.0,70.0,2.0,164892.0,0.8754979348741472,817.0,153.0,2.0,151.0,275.0,17.0,258.0,116.0,110.0,184.0,37.0,89.0,13.0,14.0,4.0,2.0,12.0,72.0,159.0,210.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,3.0,0.0,6.0,14.0,3.0,15.0,30.0,26.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3.0,0.0,10.0,19.0,4.0,24.0,52.0,41.0,42.0,4.0
9,1.0,9.0,London_80,substitution,151,453,1092.0,70.0,2.0,143601.0,0.5896961567923427,770.0,28.0,0.0,28.0,52.0,0.0,52.0,275.0,128.0,167.0,33.0,89.0,9.0,20.0,2.0,5.0,5.0,73.0,142.0,233.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,14.0,12.0,8.0,8.0
