,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_18,substitution,151,453,1092.0,70.0,2.0,139071.0,4.452877764124423,760.0,62.0,0.0,62.0,108.0,0.0,108.0,453.0,66.0,157.0,25.0,146.0,9.0,37.0,4.0,9.0,9.0,86.0,153.0,205.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,4.0,3.0,11.0,13.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,22.0,4.0,7.0,19.0,17.0,17.0,7.0
1,1.0,1.0,London_18,substitution,151,453,1092.0,70.0,2.0,149490.0,8.028910649009049,783.0,109.0,2.0,107.0,201.0,17.0,184.0,108.0,66.0,149.0,28.0,151.0,14.0,39.0,3.0,3.0,14.0,83.0,164.0,192.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,1.0,1.0,2.0,13.0,6.0,8.0,7.0,21.0,25.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,1.0,1.0,4.0,19.0,7.0,14.0,8.0,30.0,35.0,28.0,7.0
2,1.0,2.0,London_18,substitution,151,453,1092.0,70.0,2.0,133635.0,0.5250751068815589,748.0,64.0,0.0,64.0,93.0,0.0,93.0,201.0,88.0,150.0,22.0,148.0,12.0,28.0,1.0,4.0,7.0,74.0,164.0,208.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,15.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,21.0,20.0,10.0,7.0
3,1.0,3.0,London_18,substitution,151,453,1092.0,70.0,2.0,138618.0,0.6892669186927378,759.0,25.0,0.0,25.0,41.0,0.0,41.0,93.0,92.0,156.0,22.0,141.0,13.0,24.0,0.0,5.0,7.0,85.0,163.0,198.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,13.0,10.0,5.0
4,1.0,4.0,London_18,substitution,151,453,1092.0,70.0,2.0,165345.0,0.8690059529617429,818.0,118.0,1.0,117.0,207.0,11.0,196.0,41.0,99.0,147.0,19.0,145.0,15.0,24.0,0.0,4.0,9.0,91.0,157.0,196.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,1.0,1.0,0.0,6.0,4.0,4.0,7.0,15.0,26.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,2.0,1.0,0.0,7.0,7.0,5.0,10.0,22.0,38.0,33.0,13.0
5,1.0,5.0,London_18,substitution,151,453,1092.0,70.0,2.0,140430.0,0.809201595839113,763.0,100.0,2.0,98.0,181.0,17.0,164.0,207.0,117.0,158.0,25.0,129.0,5.0,15.0,0.0,4.0,7.0,82.0,162.0,202.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,11.0,10.0,4.0,11.0,19.0,28.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0,15.0,14.0,5.0,16.0,26.0,37.0,14.0,17.0
6,1.0,6.0,London_18,substitution,151,453,1092.0,70.0,2.0,134994.0,0.7679636566899717,751.0,129.0,2.0,127.0,233.0,19.0,214.0,181.0,137.0,149.0,27.0,119.0,4.0,15.0,0.0,2.0,7.0,83.0,170.0,193.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,1.0,11.0,5.0,6.0,8.0,29.0,24.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,2.0,1.0,13.0,5.0,9.0,12.0,42.0,38.0,36.0,19.0
7,1.0,7.0,London_18,substitution,151,453,1092.0,70.0,2.0,112797.0,0.5431210808455944,702.0,35.0,0.0,35.0,64.0,0.0,64.0,233.0,138.0,143.0,19.0,107.0,7.0,26.0,3.0,10.0,7.0,81.0,149.0,216.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,8.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,13.0,12.0,10.0,7.0
8,1.0,8.0,London_18,substitution,151,453,1092.0,70.0,2.0,136806.0,0.8218981763347983,755.0,31.0,2.0,29.0,72.0,18.0,54.0,64.0,139.0,140.0,17.0,109.0,8.0,26.0,3.0,11.0,6.0,81.0,159.0,207.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,9.0,9.0,4.0
9,1.0,9.0,London_18,substitution,151,453,1092.0,70.0,2.0,166251.0,0.7801868598908186,820.0,65.0,2.0,63.0,126.0,18.0,108.0,72.0,146.0,142.0,17.0,103.0,3.0,28.0,4.0,10.0,5.0,82.0,162.0,204.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,5.0,2.0,4.0,0.0,14.0,14.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,2.0,7.0,4.0,8.0,0.0,22.0,19.0,24.0,5.0
