,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_92,baseline0,151,453,1092.0,70.0,2.0,155832.0,0.29347358644008636,797.0,50.0,2.0,48.0,89.0,18.0,71.0,453.0,65.0,164.0,30.0,129.0,16.0,32.0,3.0,14.0,10.0,82.0,138.0,223.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,9.0,1.0,4.0,12.0,9.0,9.0,5.0,6.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,8.0,6.0,0.0,6.0,0.0,0.0,0.0,5.0,13.0,9.0,2.0,4.0,16.0,12.0,16.0,5.0,9.0,6.0,14.0
1,1.0,1.0,London_92,baseline0,151,453,1092.0,70.0,2.0,179388.0,0.3071587821468711,849.0,127.0,1.0,126.0,230.0,8.0,222.0,73.0,61.0,164.0,32.0,126.0,18.0,34.0,6.0,12.0,11.0,87.0,140.0,215.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,5.0,36.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,10.0,13.0,1.0,16.0,21.0,9.0,17.0,11.0,20.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,18.0,15.0,2.0,17.0,34.0,14.0,31.0,16.0,31.0,18.0,36.0
2,1.0,2.0,London_92,baseline0,151,453,1092.0,70.0,2.0,163080.0,0.3208165913820267,813.0,120.0,2.0,118.0,223.0,18.0,205.0,151.0,64.0,169.0,31.0,118.0,19.0,38.0,4.0,10.0,12.0,78.0,148.0,215.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,24.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,16.0,22.0,5.0,17.0,19.0,17.0,19.0,10.0,18.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,6.0,0.0,4.0,10.0,0.0,0.0,0.0,20.0,24.0,26.0,7.0,18.0,32.0,23.0,29.0,15.0,29.0,24.0,32.0
3,1.0,3.0,London_92,baseline0,151,453,1092.0,70.0,2.0,149490.0,0.2845618426799774,783.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,77.0,165.0,38.0,121.0,12.0,33.0,1.0,6.0,10.0,74.0,163.0,206.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,4.0,London_92,baseline0,151,453,1092.0,70.0,2.0,180747.0,0.30639543384313583,852.0,141.0,0.0,141.0,249.0,0.0,249.0,0.0,77.0,165.0,38.0,121.0,12.0,33.0,1.0,6.0,10.0,74.0,163.0,206.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8.0,19.0,2.0,20.0,1.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,16.0,1.0,13.0,22.0,15.0,20.0,22.0,21.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,22.0,2.0,14.0,39.0,29.0,33.0,30.0,35.0,31.0,39.0
5,1.0,5.0,London_92,baseline0,151,453,1092.0,70.0,2.0,149490.0,0.49259951896965504,783.0,101.0,0.0,101.0,168.0,0.0,168.0,172.0,54.0,161.0,46.0,134.0,11.0,34.0,3.0,10.0,8.0,78.0,151.0,216.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,15.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,17.0,1.0,10.0,18.0,18.0,19.0,17.0,16.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,22.0,1.0,11.0,21.0,27.0,27.0,19.0,22.0,17.0,31.0
6,1.0,6.0,London_92,baseline0,151,453,1092.0,70.0,2.0,138618.0,0.287728956900537,759.0,53.0,2.0,51.0,103.0,18.0,85.0,127.0,46.0,159.0,44.0,146.0,13.0,29.0,6.0,10.0,7.0,67.0,163.0,216.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,14.0,11.0,1.0,2.0,8.0,8.0,6.0,11.0,10.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,9.0,6.0,8.0,0.0,0.0,0.0,4.0,23.0,13.0,2.0,2.0,10.0,12.0,9.0,12.0,14.0,16.0,15.0
7,1.0,7.0,London_92,baseline0,151,453,1092.0,70.0,2.0,149037.0,0.2792850276455283,782.0,143.0,1.0,142.0,245.0,8.0,237.0,88.0,48.0,171.0,41.0,136.0,15.0,29.0,5.0,8.0,6.0,73.0,154.0,220.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.0,14.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,25.0,16.0,2.0,19.0,27.0,18.0,15.0,31.0,23.0,21.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,41.0,19.0,2.0,20.0,36.0,25.0,18.0,44.0,32.0,26.0,55.0
8,1.0,8.0,London_92,baseline0,151,453,1092.0,70.0,2.0,118233.0,0.2304145758971572,714.0,73.0,1.0,72.0,128.0,10.0,118.0,174.0,60.0,177.0,31.0,129.0,13.0,36.0,3.0,4.0,7.0,71.0,136.0,239.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,13.0,16.0,2.0,8.0,11.0,13.0,14.0,12.0,11.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,15.0,18.0,20.0,3.0,9.0,15.0,14.0,18.0,17.0,20.0,25.0,26.0
9,1.0,9.0,London_92,baseline0,151,453,1092.0,70.0,2.0,117327.0,0.20701466407626867,712.0,52.0,0.0,52.0,98.0,0.0,98.0,109.0,73.0,176.0,25.0,118.0,15.0,37.0,2.0,7.0,8.0,73.0,142.0,230.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,0.0,5.0,14.0,6.0,6.0,12.0,10.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,15.0,0.0,6.0,22.0,7.0,10.0,18.0,17.0,22.0,18.0
