,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_34,baseline0,151,453,1092.0,70.0,2.0,147678.0,0.27873577270656824,779.0,52.0,0.0,52.0,95.0,0.0,95.0,453.0,69.0,165.0,33.0,133.0,11.0,30.0,6.0,6.0,3.0,74.0,148.0,228.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,3.0,2.0,9.0,7.0,6.0,8.0,5.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,15.0,4.0,3.0,15.0,10.0,9.0,12.0,6.0,17.0,15.0
1,1.0,1.0,London_34,baseline0,151,453,1092.0,70.0,2.0,166704.0,0.30262478440999985,821.0,148.0,0.0,148.0,261.0,0.0,261.0,70.0,73.0,162.0,35.0,128.0,13.0,27.0,7.0,8.0,4.0,73.0,146.0,230.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,14.0,24.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,15.0,4.0,9.0,25.0,12.0,23.0,26.0,26.0,21.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,21.0,5.0,11.0,33.0,15.0,31.0,30.0,38.0,29.0,39.0
2,1.0,2.0,London_34,baseline0,151,453,1092.0,70.0,2.0,138618.0,0.26920432783663273,759.0,134.0,0.0,134.0,221.0,0.0,221.0,157.0,84.0,142.0,33.0,143.0,13.0,23.0,8.0,7.0,9.0,76.0,149.0,219.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6.0,30.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,22.0,1.0,13.0,22.0,15.0,15.0,30.0,17.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,28.0,1.0,14.0,27.0,24.0,19.0,41.0,24.0,26.0,40.0
3,1.0,3.0,London_34,baseline0,151,453,1092.0,70.0,2.0,112797.0,0.20631660614162683,702.0,16.0,2.0,14.0,46.0,19.0,27.0,161.0,90.0,148.0,30.0,129.0,13.0,28.0,5.0,10.0,11.0,79.0,155.0,208.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,6.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,10.0,3.0,7.0,5.0
4,1.0,4.0,London_34,baseline0,151,453,1092.0,70.0,2.0,142695.0,0.2852600356563926,768.0,7.0,2.0,5.0,28.0,19.0,9.0,43.0,79.0,153.0,25.0,137.0,11.0,32.0,5.0,11.0,11.0,73.0,157.0,212.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0
5,1.0,5.0,London_34,baseline0,151,453,1092.0,70.0,2.0,194337.0,0.34676598012447357,882.0,158.0,3.0,155.0,283.0,25.0,258.0,23.0,73.0,146.0,26.0,145.0,14.0,33.0,5.0,11.0,10.0,77.0,159.0,207.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,11.0,25.0,2.0,35.0,0.0,1.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,17.0,25.0,0.0,10.0,22.0,14.0,18.0,19.0,18.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,12.0,0.0,16.0,0.0,0.0,0.0,9.0,25.0,26.0,0.0,10.0,24.0,19.0,21.0,22.0,23.0,40.0,40.0
6,1.0,6.0,London_34,baseline0,151,453,1092.0,70.0,2.0,163080.0,0.27235756255686283,813.0,72.0,0.0,72.0,129.0,0.0,129.0,169.0,71.0,154.0,31.0,140.0,12.0,30.0,5.0,10.0,10.0,63.0,166.0,214.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,12.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,0.0,7.0,10.0,11.0,8.0,11.0,12.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,12.0,0.0,7.0,15.0,17.0,10.0,18.0,15.0,21.0,17.0
7,1.0,7.0,London_34,baseline0,151,453,1092.0,70.0,2.0,165345.0,0.3168693780899048,818.0,73.0,2.0,71.0,140.0,17.0,123.0,88.0,66.0,159.0,30.0,147.0,8.0,29.0,4.0,10.0,10.0,61.0,158.0,224.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,16.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,8.0,17.0,2.0,5.0,16.0,5.0,12.0,10.0,8.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,4.0,7.0,7.0,0.0,0.0,0.0,10.0,9.0,23.0,3.0,5.0,19.0,9.0,16.0,12.0,11.0,20.0,16.0
8,1.0,8.0,London_34,baseline0,151,453,1092.0,70.0,2.0,175311.0,0.3159756241366267,840.0,77.0,0.0,77.0,120.0,0.0,120.0,95.0,72.0,162.0,24.0,143.0,10.0,29.0,4.0,9.0,7.0,63.0,154.0,229.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,11.0,2.0,11.0,21.0,8.0,12.0,11.0,13.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,3.0,11.0,29.0,9.0,18.0,14.0,20.0,17.0,21.0
9,1.0,9.0,London_34,baseline0,151,453,1092.0,70.0,2.0,177123.0,0.3133385106921196,844.0,172.0,2.0,170.0,302.0,17.0,285.0,88.0,77.0,170.0,28.0,129.0,10.0,28.0,4.0,7.0,9.0,62.0,146.0,236.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,8.0,34.0,8.0,30.0,0.0,2.0,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,20.0,25.0,2.0,18.0,23.0,20.0,19.0,30.0,18.0,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,20.0,26.0,27.0,3.0,19.0,32.0,29.0,24.0,42.0,22.0,35.0,45.0
