,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_74,baseline0,151,453,1092.0,70.0,2.0,131370.0,0.5082875117659569,743.0,13.0,1.0,12.0,31.0,11.0,20.0,453.0,73.0,160.0,31.0,134.0,10.0,33.0,2.0,10.0,7.0,77.0,153.0,216.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,4.0,3.0,4.0,6.0,8.0,1.0,9.0
1,1.0,1.0,London_74,baseline0,151,453,1092.0,70.0,2.0,165345.0,0.2956976471468806,818.0,87.0,0.0,87.0,166.0,0.0,166.0,30.0,71.0,163.0,32.0,126.0,13.0,35.0,2.0,11.0,5.0,78.0,148.0,222.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,28.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,16.0,0.0,9.0,17.0,3.0,10.0,12.0,11.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,18.0,0.0,9.0,24.0,3.0,20.0,19.0,13.0,16.0,21.0
2,1.0,2.0,London_74,baseline0,151,453,1092.0,70.0,2.0,161268.0,0.3103024233132601,809.0,104.0,0.0,104.0,184.0,0.0,184.0,90.0,75.0,159.0,30.0,126.0,14.0,35.0,2.0,12.0,4.0,81.0,157.0,211.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,28.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,20.0,1.0,11.0,21.0,12.0,11.0,20.0,11.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,26.0,2.0,13.0,32.0,15.0,17.0,26.0,11.0,31.0,20.0
3,1.0,3.0,London_74,baseline0,151,453,1092.0,70.0,2.0,155379.0,0.2854630881920457,796.0,54.0,2.0,52.0,104.0,17.0,87.0,120.0,77.0,166.0,33.0,120.0,17.0,25.0,4.0,11.0,7.0,77.0,139.0,230.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,17.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,9.0,1.0,3.0,12.0,5.0,6.0,10.0,9.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,11.0,0.0,9.0,5.0,0.0,0.0,0.0,6.0,8.0,12.0,2.0,3.0,19.0,9.0,9.0,14.0,12.0,7.0,13.0
4,1.0,4.0,London_74,baseline0,151,453,1092.0,70.0,2.0,169875.0,0.29823608230799437,828.0,125.0,2.0,123.0,230.0,19.0,211.0,75.0,85.0,153.0,34.0,119.0,16.0,32.0,4.0,10.0,6.0,75.0,144.0,228.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,16.0,3.0,20.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,13.0,19.0,4.0,13.0,25.0,10.0,20.0,24.0,16.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,6.0,14.0,0.0,0.0,0.0,21.0,17.0,20.0,5.0,13.0,34.0,15.0,25.0,33.0,22.0,29.0,31.0
5,1.0,5.0,London_74,baseline0,151,453,1092.0,70.0,2.0,155379.0,0.5914172232151031,796.0,68.0,2.0,66.0,133.0,16.0,117.0,150.0,72.0,169.0,29.0,122.0,17.0,26.0,5.0,13.0,7.0,76.0,165.0,205.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,19.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,9.0,12.0,1.0,5.0,14.0,6.0,9.0,8.0,9.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,15.0,16.0,2.0,5.0,21.0,12.0,15.0,10.0,16.0,12.0,16.0
6,1.0,6.0,London_74,baseline0,151,453,1092.0,70.0,2.0,165798.0,0.28696940280497074,819.0,122.0,0.0,122.0,214.0,0.0,214.0,78.0,74.0,164.0,27.0,125.0,17.0,29.0,4.0,13.0,9.0,72.0,167.0,205.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,30.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,17.0,2.0,12.0,19.0,11.0,13.0,17.0,13.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,18.0,3.0,12.0,25.0,15.0,16.0,23.0,15.0,30.0,21.0
7,1.0,7.0,London_74,baseline0,151,453,1092.0,70.0,2.0,144507.0,0.321406664326787,772.0,26.0,2.0,24.0,61.0,18.0,43.0,126.0,74.0,162.0,26.0,125.0,15.0,37.0,3.0,11.0,7.0,74.0,175.0,197.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,2.0,4.0,3.0,5.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,9.0,5.0,13.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,1.0,4.0,5.0,4.0,6.0,3.0,4.0,9.0
8,1.0,8.0,London_74,baseline0,151,453,1092.0,70.0,2.0,176217.0,0.6304582403972745,842.0,129.0,1.0,128.0,234.0,9.0,225.0,50.0,60.0,168.0,31.0,129.0,10.0,39.0,3.0,13.0,6.0,77.0,169.0,201.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.0,30.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,15.0,4.0,9.0,23.0,15.0,20.0,17.0,16.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,20.0,8.0,9.0,32.0,24.0,31.0,22.0,28.0,33.0,40.0
9,1.0,9.0,London_74,baseline0,151,453,1092.0,70.0,2.0,143601.0,0.27485208585858345,770.0,82.0,0.0,82.0,151.0,0.0,151.0,163.0,75.0,146.0,22.0,143.0,10.0,41.0,3.0,13.0,6.0,79.0,159.0,209.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,17.0,1.0,6.0,23.0,9.0,8.0,22.0,15.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,23.0,2.0,7.0,31.0,16.0,14.0,32.0,22.0,30.0,28.0
