,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_94,baseline0,151,453,1092.0,70.0,2.0,174858.0,0.30178934801369905,839.0,146.0,0.0,146.0,236.0,0.0,236.0,453.0,55.0,170.0,38.0,137.0,4.0,38.0,5.0,6.0,5.0,70.0,155.0,223.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,8.0,41.0,3.0,15.0,1.0,0.0,1.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,30.0,1.0,8.0,16.0,12.0,20.0,14.0,17.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,30.0,1.0,11.0,24.0,16.0,29.0,26.0,23.0,26.0,29.0
1,1.0,1.0,London_94,baseline0,151,453,1092.0,70.0,2.0,144960.0,0.5139562524855137,773.0,94.0,2.0,92.0,187.0,18.0,169.0,135.0,49.0,193.0,35.0,123.0,7.0,34.0,5.0,7.0,8.0,65.0,160.0,220.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,21.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,13.0,20.0,1.0,13.0,21.0,10.0,15.0,20.0,9.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0,19.0,24.0,2.0,19.0,31.0,22.0,27.0,27.0,15.0,20.0,29.0
2,1.0,2.0,London_94,baseline0,151,453,1092.0,70.0,2.0,138165.0,0.2757726199924946,758.0,89.0,2.0,87.0,164.0,17.0,147.0,148.0,48.0,181.0,40.0,131.0,7.0,35.0,1.0,10.0,8.0,61.0,165.0,219.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,14.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,12.0,17.0,2.0,11.0,17.0,7.0,14.0,12.0,8.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,8.0,5.0,0.0,0.0,0.0,10.0,24.0,17.0,2.0,11.0,21.0,12.0,23.0,20.0,13.0,18.0,21.0
3,1.0,3.0,London_94,baseline0,151,453,1092.0,70.0,2.0,127746.0,0.29360408429056406,735.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,62.0,182.0,39.0,115.0,12.0,28.0,2.0,13.0,10.0,61.0,155.0,227.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,4.0,London_94,baseline0,151,453,1092.0,70.0,2.0,163533.0,0.3110201880335808,814.0,87.0,0.0,87.0,150.0,0.0,150.0,0.0,62.0,182.0,39.0,115.0,12.0,28.0,2.0,13.0,10.0,61.0,155.0,227.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,29.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,3.0,9.0,13.0,7.0,13.0,12.0,9.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,14.0,4.0,9.0,18.0,10.0,20.0,16.0,15.0,18.0,19.0
5,1.0,5.0,London_94,baseline0,151,453,1092.0,70.0,2.0,156738.0,0.5858232360333204,799.0,147.0,1.0,146.0,251.0,9.0,242.0,98.0,61.0,180.0,31.0,112.0,14.0,37.0,3.0,15.0,10.0,65.0,146.0,232.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,44.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,13.0,25.0,4.0,13.0,31.0,16.0,19.0,24.0,19.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,18.0,16.0,30.0,5.0,15.0,45.0,22.0,26.0,30.0,26.0,42.0,37.0
6,1.0,6.0,London_94,baseline0,151,453,1092.0,70.0,2.0,128652.0,0.2117172023281455,737.0,32.0,2.0,30.0,71.0,16.0,55.0,161.0,50.0,188.0,32.0,112.0,14.0,44.0,2.0,11.0,12.0,72.0,148.0,221.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,8.0,2.0,0.0,5.0,5.0,7.0,4.0,9.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,3.0,9.0,4.0,0.0,9.0,7.0,12.0,8.0,14.0,8.0,22.0
7,1.0,7.0,London_94,baseline0,151,453,1092.0,70.0,2.0,152661.0,0.5626586768776178,790.0,75.0,0.0,75.0,139.0,0.0,139.0,66.0,45.0,183.0,31.0,122.0,17.0,43.0,3.0,9.0,11.0,76.0,146.0,220.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,11.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0,0.0,7.0,18.0,4.0,13.0,16.0,14.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,13.0,0.0,7.0,27.0,6.0,19.0,29.0,22.0,10.0,17.0
8,1.0,8.0,London_94,baseline0,151,453,1092.0,70.0,2.0,165798.0,0.28123217448592186,819.0,60.0,2.0,58.0,112.0,18.0,94.0,96.0,44.0,181.0,40.0,122.0,14.0,41.0,2.0,9.0,10.0,78.0,154.0,211.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,2.0,4.0,10.0,8.0,10.0,11.0,8.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,12.0,3.0,4.0,12.0,15.0,14.0,17.0,12.0,18.0,24.0
9,1.0,9.0,London_94,baseline0,151,453,1092.0,70.0,2.0,182559.0,0.3289332063868642,856.0,70.0,1.0,69.0,125.0,10.0,115.0,79.0,52.0,180.0,23.0,129.0,15.0,45.0,0.0,9.0,9.0,84.0,154.0,206.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,11.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,2.0,7.0,10.0,8.0,9.0,14.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,7.0,6.0,0.0,0.0,0.0,5.0,9.0,10.0,2.0,10.0,15.0,10.0,14.0,18.0,9.0,10.0,8.0
